categories,finalname
User consent provision,User consent provision
Cookies preferences,Cookies preferences and management
Laws and analytics,Laws and analytics
Third party relation,Third party relation
Data visibility/anonymity,Data visibility/anonymization
Personal data storage,Data storage
Security (data encryption etc.),"Security (data encryption, etc.)"
Logging functionality,Logging functionality
Add other law relevant feature,Other law relevant feature
User rights functionality,User rights functionality
Bug related with law functionality,Bug related with law functionality
Library update,Library update
Law compliance test,Law compliance test
Typo/UI fix,Typo/UI change
Law compliance indication update,Law compliance indication
Law functionality per region,Law functionality per region
Design for law complliance,Design for law compliance
Law information page/policy,Law information page/policy
Documentation update,Documentation update
Links to law information,Links to law information
Law violation concern,Law violation concern
Non-technical issue,Non-technical issue
Data minimization,Data minimization
General law compliance,General law compliance